ID;Voornaam;Achternaam;Email;Geboortedatum;BSN;Antistoffen;Positief getest;Vac1;Vac2;Vaccin;Geldige PCR test?
619;Hal;Toy;HalToy@example.org;8-10-1946;64136250;nee;nvt;22-4-2021;VOLDAAN;AZ;Nee
620;Delta;Hansen;DeltaHansen@example.org;28-7-1990;10701721;nee;nvt;10-5-2021;nog inplannen;PFI;Nee
621;Julian;Paucek;JulianPaucek@example.org;18-5-1944;25850323;ja;7-8-2020;25-5-2021;nog inplannen;PFI;Nee
622;Raymond;Krajcik;RaymondKrajcik@example.org;21-9-1955;59380136;nee;nvt;4-4-2021;1-6-2021;PFI;Nee
623;Evans;Koepp;EvansKoepp@example.org;24-7-1979;22663123;ja;22-5-2020;27-4-2021;nog inplannen;MOD;Nee
624;Heloise;Schneider;HeloiseSchneider@example.org;30-12-1973;94655727;nee;nvt;7-3-2021;24-4-2021;AZ;Nee
625;Percival;Gorczany;PercivalGorczany@example.org;27-9-1998;59674427;nee;nvt;23-1-2021;5-3-2021;PFI;Ja, 30 uur oud
626;Arturo;Thiel;ArturoThiel@example.org;15-5-1990;77135414;nee;nvt;11-5-2021;nog inplannen;PFI;Nee
627;Alysha;McCullough;AlyshaMcCullough@example.org;2-9-1999;70584290;ja;11-5-2020;18-5-2021;nog inplannen;PFI;Nee
628;Curt;Witting;CurtWitting@example.org;14-4-1974;18181259;ja;28-7-2020;25-5-2021;nog inplannen;PFI;Nee
629;Kane;King;KaneKing@example.org;2-12-1942;23828488;nee;nvt;27-4-2021;VOLDAAN;AZ;Nee
630;Korey;Huel;KoreyHuel@example.org;14-1-1971;53395135;ja;28-7-2020;7-4-2021;17-5-2021;PFI;Nee
631;Avery;Rogahn;AveryRogahn@example.org;28-11-1950;36530497;ja;16-6-2020;30-4-2021;nog inplannen;PFI;Nee
632;Kavon;Wehner;KavonWehner@example.org;28-7-1937;52298347;ja;28-9-2020;17-5-2021;VOLDAAN;AZ;Ja, 30 uur oud
633;Lance;Braun;LanceBraun@example.org;21-10-1999;91416329;ja;9-8-2020;9-4-2021;22-5-2021;PFI;Nee
634;Hobart;Cronin;HobartCronin@example.org;23-12-1973;22301350;ja;6-5-2020;15-5-2021;VOLDAAN;AZ;Nee
635;Marques;Abshire;MarquesAbshire@example.org;20-3-1936;43601353;nee;nvt;23-2-2021;2-4-2021;PFI;Nee
636;Roselyn;Sporer;RoselynSporer@example.org;15-1-1969;66528604;ja;24-1-2021;17-4-2021;29-5-2021;ONB;Nee
637;Else;Ratke;ElseRatke@example.org;17-9-1945;35785969;nee;nvt;22-1-2021;24-2-2021;PFI;Nee
638;Christa;McGlynn;ChristaMcGlynn@example.org;22-6-2003;81605192;nee;nvt;21-4-2021;nog inplannen;MOD;Nee
639;Reid;Quigley;ReidQuigley@example.org;10-9-1959;39841046;ja;21-7-2020;22-1-2021;20-3-2021;AZ;Ja, 50 uur oud
640;Mia;Lesch;MiaLesch@example.org;7-11-1947;46707234;nee;nvt;25-1-2021;2-3-2021;AZ;Nee
641;Gia;Rutherford;GiaRutherford@example.org;17-8-1968;54997971;ja;23-6-2020;23-1-2021;23-3-2021;AZ;Nee
642;Zita;Dach;ZitaDach@example.org;29-4-1980;27345426;ja;9-5-2020;16-1-2021;17-2-2021;PFI;Nee
643;Laurel;Barrows;LaurelBarrows@example.org;4-1-1950;69598242;ja;2-9-2020;1-2-2021;4-3-2021;MOD;Nee
644;Queenie;Thiel;QueenieThiel@example.org;4-6-1969;21667997;ja;7-6-2020;20-4-2021;30-5-2021;PFI;Nee
645;Daphnee;Graham;DaphneeGraham@example.org;8-5-1978;67971513;nee;nvt;12-4-2021;22-5-2021;AZ;Nee
646;Heber;Bode;HeberBode@example.org;7-2-1961;45561047;ja;17-7-2020;13-5-2021;nog inplannen;PFI;Ja, 50 uur oud
647;Matteo;Pacocha;MatteoPacocha@example.org;29-5-1952;84664686;nee;nvt;5-2-2021;3-4-2021;PFI;Nee
648;Frederique;Macejkovic;FrederiqueMacejkovic@example.org;10-10-1986;24928476;ja;19-6-2020;9-2-2021;12-3-2021;ONB;Nee
649;Brendan;Schowalter;BrendanSchowalter@example.org;29-12-1947;27327717;ja;25-7-2020;3-5-2021;VOLDAAN;AZ;Nee
650;Marietta;White;MariettaWhite@example.org;10-11-1943;22240189;nee;nvt;1-5-2021;VOLDAAN;AZ;Nee
651;Jonathan;Botsford;JonathanBotsford@example.org;7-9-1947;52541061;ja;26-11-2020;20-1-2021;20-3-2021;ONB;Nee
652;Andre;Herman;AndreHerman@example.org;6-4-1944;94631661;ja;14-10-2020;10-5-2021;VOLDAAN;AZ;Nee
653;Verner;Hegmann;VernerHegmann@example.org;8-4-1955;89276379;nee;nvt;7-4-2021;1-6-2021;PFI;Ja, 50 uur oud
654;Dion;Schultz;DionSchultz@example.org;19-5-1956;57285028;ja;29-10-2020;12-2-2021;16-3-2021;PFI;Nee
655;Aurelia;Fisher;AureliaFisher@example.org;17-7-1936;88465271;nee;nvt;11-4-2021;VOLDAAN;JANS;Nee
656;Adelbert;Terry;AdelbertTerry@example.org;24-5-2001;24036643;nee;nvt;28-4-2021;nog inplannen;MOD;Nee
657;Hilton;Wiza;HiltonWiza@example.org;31-3-1977;89250777;ja;30-6-2020;22-1-2021;10-3-2021;PFI;Nee
658;Kacey;Walter;KaceyWalter@example.org;8-11-1942;37965230;ja;9-6-2020;2-4-2021;18-5-2021;AZ;Nee
659;Lou;O'Hara;LouO'Hara@example.org;13-7-1937;39956269;ja;27-7-2020;30-1-2021;31-3-2021;PFI;Nee
660;Ronny;Lind;RonnyLind@example.org;14-2-1966;45471422;ja;3-1-2021;3-3-2021;19-4-2021;ONB;Ja, 36uur oud
661;Agustina;Harber;AgustinaHarber@example.org;1-7-1981;82012546;nee;nvt;25-2-2021;2-4-2021;MOD;Nee
662;Berneice;O'Conner;BerneiceO'Conner@example.org;16-2-1943;88222481;ja;22-11-2020;26-3-2021;19-5-2021;PFI;Nee
663;Sammie;Davis;SammieDavis@example.org;11-10-1934;59220434;nee;nvt;6-4-2021;27-5-2021;AZ;Nee
664;Akeem;Wolff;AkeemWolff@example.org;14-7-1952;45453461;nee;nvt;3-2-2021;19-3-2021;PFI;Nee
665;Humberto;Kozey;HumbertoKozey@example.org;1-11-1994;89248614;ja;15-7-2020;20-1-2021;VOLDAAN;JANS;Nee
666;Elliott;Kunze;ElliottKunze@example.org;6-11-1959;79694852;ja;11-1-2021;8-4-2021;19-5-2021;PFI;Nee
667;Madisyn;Brakus;MadisynBrakus@example.org;23-11-1944;40213746;ja;10-6-2020;26-5-2021;nog inplannen;PFI;Ja, 36uur oud
668;Skye;Kertzmann;SkyeKertzmann@example.org;23-10-1950;35199232;nee;nvt;11-1-2021;28-2-2021;PFI;Nee
669;Mertie;Ebert;MertieEbert@example.org;16-10-1984;83872190;nee;nvt;3-3-2021;13-4-2021;PFI;Nee
670;Joelle;Lindgren;JoelleLindgren@example.org;11-10-2002;84083572;ja;29-6-2020;16-4-2021;nog inplannen;PFI;Nee
671;Karlee;Adams;KarleeAdams@example.org;22-9-1976;31631632;ja;6-11-2020;11-3-2021;26-4-2021;AZ;Nee
672;Paul;Walker;PaulWalker@example.org;16-1-1962;56198597;ja;28-11-2020;20-1-2021;18-3-2021;PFI;Nee
673;Makayla;Considine;MakaylaConsidine@example.org;17-4-1988;16223263;nee;nvt;11-1-2021;11-2-2021;AZ;Nee
674;Lisa;Bergnaum;LisaBergnaum@example.org;8-8-2002;47389754;ja;2-1-2021;3-5-2021;nog inplannen;PFI;Ja, 36uur oud
675;Jan;McCullough;JanMcCullough@example.org;26-7-1971;50023409;ja;21-6-2020;1-5-2021;29-5-2021;PFI;Nee
676;Marlene;Bode;MarleneBode@example.org;11-5-1948;68751644;nee;nvt;20-1-2021;17-3-2021;MOD;Nee
677;Joesph;Graham;JoesphGraham@example.org;10-5-1943;10501353;ja;1-10-2020;5-5-2021;nog inplannen;PFI;Nee
678;Aubrey;Monahan;AubreyMonahan@example.org;1-1-1990;12971838;ja;3-1-2021;10-2-2021;8-4-2021;MOD;Nee
679;Frederic;Graham;FredericGraham@example.org;2-2-1984;19760830;ja;10-8-2020;10-4-2021;9-5-2021;PFI;Nee
680;Bethany;Leannon;BethanyLeannon@example.org;11-4-1956;81064461;ja;11-10-2020;10-1-2021;11-2-2021;PFI;Nee
681;Domenico;Connelly;DomenicoConnelly@example.org;13-12-1986;79661360;nee;nvt;24-2-2021;25-3-2021;PFI;Ja, 36uur oud
682;Antwon;Parisian;AntwonParisian@example.org;27-5-1932;15628855;ja;16-11-2020;17-3-2021;10-5-2021;PFI;Nee
683;Bradley;McDermott;BradleyMcDermott@example.org;25-3-2000;84515447;nee;nvt;15-3-2021;28-4-2021;AZ;Nee
684;Will;Erdman;WillErdman@example.org;22-10-1982;95444059;nee;nvt;15-5-2021;VOLDAAN;AZ;Nee
685;Javonte;Greenfelder;JavonteGreenfelder@example.org;3-8-2000;30010026;ja;20-7-2020;31-1-2021;25-3-2021;ONB;Nee
686;Heber;Schulist;HeberSchulist@example.org;19-12-1937;75733018;ja;6-5-2020;23-4-2021;3-6-2021;PFI;Nee
687;Emmanuelle;Hudson;EmmanuelleHudson@example.org;5-9-1957;51350103;ja;4-7-2020;25-1-2021;16-3-2021;ONB;Nee
688;Lillie;Huel;LillieHuel@example.org;17-6-1965;35055408;nee;nvt;26-4-2021;nog inplannen;PFI;Ja, 36uur oud
689;Russel;Kuphal;RusselKuphal@example.org;6-5-1976;44803513;ja;5-10-2020;27-2-2021;31-3-2021;PFI;Nee
690;Izabella;Beahan;IzabellaBeahan@example.org;6-11-1988;96045360;nee;nvt;20-2-2021;3-4-2021;PFI;Nee
691;Makenzie;Schamberger;MakenzieSchamberger@example.org;13-2-1984;93628081;ja;5-11-2020;25-2-2021;27-3-2021;PFI;Nee
692;Matteo;Boyer;MatteoBoyer@example.org;19-6-1990;75353970;nee;nvt;31-3-2021;24-5-2021;PFI;Nee
693;Marjory;Swift;MarjorySwift@example.org;29-5-1949;46249592;ja;9-5-2020;23-4-2021;nog inplannen;PFI;Nee
694;Derrick;Kerluke;DerrickKerluke@example.org;24-3-1989;53627871;ja;9-8-2020;17-2-2021;1-4-2021;AZ;Nee
695;Dorian;Robel;DorianRobel@example.org;20-3-1934;54304058;nee;nvt;18-4-2021;20-5-2021;PFI;Ja, 36uur oud
696;Collin;Gulgowski;CollinGulgowski@example.org;26-4-1989;84373549;ja;28-1-2021;17-2-2021;7-4-2021;PFI;Nee
697;Lane;Will;LaneWill@example.org;9-5-1956;47380906;nee;nvt;20-3-2021;8-5-2021;PFI;Nee
698;Albin;Wehner;AlbinWehner@example.org;1-11-1959;10197051;ja;2-12-2020;31-5-2021;VOLDAAN;AZ;Nee
699;Ressie;Bernier;RessieBernier@example.org;24-2-1933;33166598;nee;nvt;31-1-2021;8-3-2021;ONB;Nee
700;Brittany;Romaguera;BrittanyRomaguera@example.org;25-8-1938;42417656;nee;nvt;2-2-2021;7-3-2021;PFI;Nee
701;Mathilde;Carroll;MathildeCarroll@example.org;29-6-1987;49683674;ja;23-8-2020;26-2-2021;8-4-2021;PFI;Nee
702;August;Veum;AugustVeum@example.org;15-5-1948;19985173;nee;nvt;21-1-2021;18-3-2021;PFI;Ja, 10 uur oud
703;Pierce;Hoppe;PierceHoppe@example.org;7-3-1994;37805143;nee;nvt;6-2-2021;12-3-2021;AZ;Nee
704;Augustus;Gleason;AugustusGleason@example.org;29-1-1968;77888186;ja;16-5-2020;6-4-2021;6-5-2021;PFI;Nee
705;Regan;Gutmann;ReganGutmann@example.org;13-3-1940;45151756;ja;6-5-2020;10-1-2021;7-3-2021;PFI;Nee
706;Perry;Dare;PerryDare@example.org;2-3-1993;64852654;ja;31-12-2020;10-5-2021;nog inplannen;PFI;Nee
707;Ludwig;Lubowitz;LudwigLubowitz@example.org;22-12-1931;65595317;nee;nvt;11-2-2021;5-4-2021;PFI;Nee
708;Zita;Cartwright;ZitaCartwright@example.org;29-1-1977;77783325;nee;nvt;8-2-2021;13-3-2021;ONB;Nee
709;Syble;Leannon;SybleLeannon@example.org;23-9-1951;69890886;ja;4-10-2020;17-4-2021;24-5-2021;AZ;Ja, 10 uur oud
710;Braeden;Murazik;BraedenMurazik@example.org;15-8-1974;91893490;ja;19-10-2020;21-2-2021;VOLDAAN;AZ;Nee
711;Leslie;Lebsack;LeslieLebsack@example.org;30-5-1954;22631545;ja;3-11-2020;30-5-2021;nog inplannen;PFI;Nee
712;Jerel;Prohaska;JerelProhaska@example.org;8-8-1980;80581228;nee;nvt;25-1-2021;3-3-2021;PFI;Nee
713;Kurt;Yost;KurtYost@example.org;28-4-1973;71090658;nee;nvt;24-2-2021;7-4-2021;PFI;Nee
714;Eloise;O'Kon;EloiseO'Kon@example.org;25-5-1944;72864106;ja;17-5-2020;21-4-2021;nog inplannen;PFI;Nee
715;Darian;Stehr;DarianStehr@example.org;6-1-1950;87940578;ja;29-7-2020;17-1-2021;7-3-2021;PFI;Nee
716;Carter;Luettgen;CarterLuettgen@example.org;28-5-1997;39734432;ja;16-11-2020;27-4-2021;28-5-2021;PFI;Ja, 10 uur oud
717;Gene;Herzog;GeneHerzog@example.org;14-5-1991;96142015;ja;24-11-2020;3-3-2021;1-5-2021;PFI;Nee
718;Piper;Jakubowski;PiperJakubowski@example.org;9-7-1995;33709301;nee;nvt;7-3-2021;28-4-2021;PFI;Nee
719;Jazlyn;Bernier;JazlynBernier@example.org;2-1-1936;60506078;nee;nvt;11-2-2021;8-4-2021;AZ;Nee
720;Taryn;Wolff;TarynWolff@example.org;23-12-1982;86699856;nee;nvt;1-3-2021;20-4-2021;AZ;Nee
721;Kacie;Batz;KacieBatz@example.org;26-4-1994;85256485;ja;9-7-2020;18-4-2021;21-5-2021;PFI;Nee
722;Giovanny;Purdy;GiovannyPurdy@example.org;3-9-1986;85680189;nee;nvt;30-1-2021;27-2-2021;MOD;Nee
723;Eldora;Cummerata;EldoraCummerata@example.org;28-8-1991;53938554;ja;25-9-2020;10-1-2021;28-2-2021;PFI;Ja, 10 uur oud
724;Katelynn;Kub;KatelynnKub@example.org;16-4-1989;66387283;ja;21-11-2020;11-4-2021;21-5-2021;PFI;Nee
725;Earl;Hayes;EarlHayes@example.org;15-8-2002;62401481;nee;nvt;16-4-2021;nog inplannen;PFI;Nee
726;Terrill;Steuber;TerrillSteuber@example.org;11-3-1956;69748032;ja;8-9-2020;3-5-2021;nog inplannen;PFI;Nee
727;Wellington;Schumm;WellingtonSchumm@example.org;7-10-1975;67666099;ja;28-7-2020;5-2-2021;8-3-2021;PFI;Nee
728;Kavon;Mills;KavonMills@example.org;8-6-1968;76917808;ja;5-6-2020;28-2-2021;14-4-2021;PFI;Nee
729;Verda;Roob;VerdaRoob@example.org;27-8-1932;51870662;ja;30-5-2020;23-4-2021;nog inplannen;PFI;Nee
730;Luisa;Hudson;LuisaHudson@example.org;25-2-1967;38951490;ja;12-10-2020;16-1-2021;17-2-2021;PFI;Ja, 10 uur oud
731;Nya;Abernathy;NyaAbernathy@example.org;4-9-1991;74788657;nee;nvt;30-4-2021;nog inplannen;PFI;Ja, 10 uur oud
732;Mae;Howell;MaeHowell@example.org;29-11-1960;29090313;nee;nvt;25-1-2021;25-2-2021;ONB;Nee
733;Eldridge;Strosin;EldridgeStrosin@example.org;15-11-1944;31858745;ja;24-6-2020;6-2-2021;3-4-2021;PFI;Nee
734;Meagan;Haley;MeaganHaley@example.org;1-3-1960;32506365;nee;nvt;1-3-2021;3-4-2021;ONB;Nee
735;Lelia;Moore;LeliaMoore@example.org;20-9-1959;70558904;nee;nvt;6-5-2021;VOLDAAN;AZ;Nee
736;Candida;Nader;CandidaNader@example.org;10-6-1993;25428688;nee;nvt;24-2-2021;3-4-2021;AZ;Nee
737;Yasmeen;Wyman;YasmeenWyman@example.org;5-10-1930;78335826;nee;nvt;28-5-2021;nog inplannen;PFI;Ja, 10 uur oud
738;Elliot;Hegmann;ElliotHegmann@example.org;21-8-1944;64554045;nee;nvt;12-3-2021;5-5-2021;MOD;Nee
739;Floyd;Miller;FloydMiller@example.org;23-6-1948;51172355;ja;18-6-2020;27-1-2021;24-2-2021;PFI;Nee
740;Annalise;Bartell;AnnaliseBartell@example.org;22-4-1969;49907972;nee;nvt;5-4-2021;8-5-2021;PFI;Nee
741;Douglas;Cremin;DouglasCremin@example.org;17-9-1970;23494985;nee;nvt;23-4-2021;27-5-2021;MOD;Nee
742;Keenan;Thiel;KeenanThiel@example.org;13-5-1939;82008697;ja;18-12-2020;30-4-2021;29-5-2021;ONB;Nee
743;Delphia;Berge;DelphiaBerge@example.org;15-5-1937;67008671;ja;9-8-2020;8-4-2021;27-5-2021;PFI;Nee
744;Arturo;Schaden;ArturoSchaden@example.org;11-10-1958;57886218;ja;9-8-2020;1-2-2021;10-3-2021;AZ;Ja, 10 uur oud
745;Dora;Schaden;DoraSchaden@example.org;24-3-1943;33937059;nee;nvt;12-2-2021;31-3-2021;PFI;Nee
746;Andrew;Langworth;AndrewLangworth@example.org;21-1-1962;63410903;ja;5-1-2021;19-3-2021;11-5-2021;PFI;Nee
747;Ayden;Stracke;AydenStracke@example.org;16-12-1962;23472332;nee;nvt;4-4-2021;31-5-2021;MOD;Nee
748;Eldridge;Kozey;EldridgeKozey@example.org;29-9-1973;71740260;nee;nvt;3-4-2021;17-5-2021;PFI;Nee
749;Jaida;Larkin;JaidaLarkin@example.org;6-10-1947;13028752;ja;15-10-2020;17-3-2021;9-5-2021;PFI;Nee
750;Valerie;Jones;ValerieJones@example.org;25-9-1990;12219659;nee;nvt;12-3-2021;11-5-2021;PFI;Nee
751;Cary;Spinka;CarySpinka@example.org;22-5-1989;17374012;ja;9-6-2020;21-5-2021;nog inplannen;MOD;Ja, 10 uur oud
752;Chanelle;Denesik;ChanelleDenesik@example.org;1-6-1971;73948515;ja;9-6-2020;17-5-2021;nog inplannen;PFI;Nee
753;Orpha;Bayer;OrphaBayer@example.org;16-10-1936;66090038;ja;14-6-2020;12-2-2021;8-4-2021;PFI;Nee
754;Kristofer;Kreiger;KristoferKreiger@example.org;6-7-1994;66524911;nee;nvt;14-4-2021;26-5-2021;MOD;Nee
755;Rosa;Von;RosaVon@example.org;16-12-1932;51091437;ja;16-10-2020;9-4-2021;14-5-2021;AZ;Nee
756;Kasandra;Christiansen;KasandraChristiansen@example.org;14-11-1939;79545144;nee;nvt;23-4-2021;nog inplannen;PFI;Nee
757;Judah;Hamill;JudahHamill@example.org;23-5-1973;63395172;ja;7-1-2021;25-1-2021;17-3-2021;PFI;Nee
758;Merritt;Boyer;MerrittBoyer@example.org;26-8-1937;94651765;ja;25-12-2020;17-1-2021;15-2-2021;AZ;Ja, 10 uur oud
759;Rachael;Hudson;RachaelHudson@example.org;11-10-1961;11592927;ja;8-7-2020;2-4-2021;30-5-2021;PFI;Nee
760;Mona;Corkery;MonaCorkery@example.org;6-3-1934;94288748;nee;nvt;12-3-2021;10-4-2021;ONB;Nee
761;Zetta;Tromp;ZettaTromp@example.org;10-12-1946;44907580;ja;19-5-2020;26-4-2021;30-5-2021;PFI;Nee
762;Oceane;O'Hara;OceaneO'Hara@example.org;23-12-2002;37228366;ja;9-9-2020;23-4-2021;30-5-2021;AZ;Nee
763;Creola;Nader;CreolaNader@example.org;3-9-1968;49800907;nee;nvt;1-6-2021;nog inplannen;PFI;Nee
764;Alphonso;Hand;AlphonsoHand@example.org;6-9-1997;41411588;nee;nvt;26-2-2021;12-4-2021;PFI;Nee
765;Gaetano;Denesik;GaetanoDenesik@example.org;27-12-1941;27741256;ja;13-10-2020;3-4-2021;22-5-2021;PFI;Ja, 30 uur oud
766;Rahul;Hoeger;RahulHoeger@example.org;7-12-1981;11590271;ja;17-12-2020;17-2-2021;13-4-2021;PFI;Nee
767;Rebekah;Goyette;RebekahGoyette@example.org;1-5-1952;55068344;ja;25-8-2020;11-2-2021;6-4-2021;MOD;Nee
768;Dayana;Hudson;DayanaHudson@example.org;3-11-2002;45745256;nee;nvt;17-5-2021;nog inplannen;PFI;Nee
769;Anastasia;Anderson;AnastasiaAnderson@example.org;20-4-1996;82688863;ja;4-6-2020;11-1-2021;14-2-2021;PFI;Nee
770;Verlie;Lebsack;VerlieLebsack@example.org;23-1-1991;49994223;ja;14-5-2020;28-3-2021;26-4-2021;PFI;Nee
771;Pierre;Lemke;PierreLemke@example.org;27-11-1979;37492129;nee;nvt;1-2-2021;30-3-2021;PFI;Nee
772;Elmira;Harber;ElmiraHarber@example.org;6-5-1993;78254201;nee;nvt;11-1-2021;12-2-2021;AZ;Ja, 30 uur oud
773;Garrick;Rolfson;GarrickRolfson@example.org;20-7-1949;45371604;ja;13-6-2020;19-5-2021;nog inplannen;PFI;Nee
774;Adam;Armstrong;AdamArmstrong@example.org;30-3-2001;44965389;ja;27-9-2020;16-2-2021;12-4-2021;PFI;Nee
775;Aurelio;Heidenreich;AurelioHeidenreich@example.org;28-11-1978;63427434;nee;nvt;21-1-2021;12-3-2021;PFI;Nee
776;Barton;Walter;BartonWalter@example.org;25-6-1938;45770972;ja;7-1-2021;17-5-2021;nog inplannen;PFI;Nee
777;Lazaro;Goldner;LazaroGoldner@example.org;8-1-1939;30046492;ja;15-10-2020;25-3-2021;29-4-2021;PFI;Nee
778;Taurean;Ruecker;TaureanRuecker@example.org;7-2-1975;75704057;nee;nvt;23-5-2021;nog inplannen;PFI;Nee
779;Lilian;Feeney;LilianFeeney@example.org;22-5-1948;45441409;nee;nvt;28-1-2021;28-3-2021;PFI;Ja, 30 uur oud
780;Jordi;Stiedemann;JordiStiedemann@example.org;21-6-1976;38057064;ja;23-7-2020;29-4-2021;nog inplannen;PFI;Nee
781;Eileen;Stark;EileenStark@example.org;17-2-1942;60817188;ja;25-6-2020;13-3-2021;6-5-2021;MOD;Nee
782;Luis;Schmitt;LuisSchmitt@example.org;7-12-1990;51844352;ja;24-9-2020;17-2-2021;31-3-2021;PFI;Nee
783;Pasquale;Ondricka;PasqualeOndricka@example.org;20-2-1951;36541887;ja;9-1-2021;27-1-2021;17-3-2021;MOD;Nee
784;Travon;Stehr;TravonStehr@example.org;10-6-1940;22814511;ja;30-8-2020;6-5-2021;VOLDAAN;AZ;Nee
785;Fanny;Beier;FannyBeier@example.org;17-1-1931;16532390;nee;nvt;11-4-2021;22-5-2021;PFI;Nee
786;Liana;Gulgowski;LianaGulgowski@example.org;10-3-2003;63992485;nee;nvt;23-3-2021;3-5-2021;PFI;Ja, 30 uur oud
787;Orlando;Pagac;OrlandoPagac@example.org;14-7-1945;65046812;ja;7-12-2020;3-2-2021;3-3-2021;AZ;Nee
788;Monte;Macejkovic;MonteMacejkovic@example.org;11-9-1943;89489243;nee;nvt;3-4-2021;31-5-2021;PFI;Nee
789;Pearlie;Hoeger;PearlieHoeger@example.org;15-6-1943;86171904;nee;nvt;25-5-2021;nog inplannen;PFI;Nee
790;Anahi;Pagac;AnahiPagac@example.org;9-12-1960;71516606;ja;22-7-2020;31-3-2021;9-5-2021;PFI;Nee
791;Magnus;Pfannerstill;MagnusPfannerstill@example.org;16-8-2003;87339128;nee;nvt;13-4-2021;15-5-2021;PFI;Nee
792;Afton;Kassulke;AftonKassulke@example.org;15-8-1968;75209310;nee;nvt;20-5-2021;VOLDAAN;AZ;Nee
793;Maye;Strosin;MayeStrosin@example.org;25-2-1934;62929914;ja;14-5-2020;2-3-2021;26-4-2021;PFI;Ja, 30 uur oud
794;Gerhard;Feest;GerhardFeest@example.org;7-7-1949;21002675;ja;12-6-2020;19-3-2021;17-4-2021;PFI;Nee
795;Rashad;Schaefer;RashadSchaefer@example.org;15-7-1985;34678731;ja;17-12-2020;27-3-2021;24-4-2021;PFI;Nee
796;Uriel;Huel;UrielHuel@example.org;13-4-1990;11577653;nee;nvt;27-5-2021;nog inplannen;PFI;Nee
797;Chyna;Kuhic;ChynaKuhic@example.org;9-6-1967;90182943;ja;8-12-2020;4-3-2021;10-4-2021;PFI;Nee
798;Rachel;Wintheiser;RachelWintheiser@example.org;30-4-1945;47647537;nee;nvt;15-4-2021;28-5-2021;PFI;Nee
799;Ryleigh;Leffler;RyleighLeffler@example.org;24-12-1935;31254207;nee;nvt;5-3-2021;5-4-2021;AZ;Nee
800;Robert;Hermiston;RobertHermiston@example.org;16-10-1966;34167832;ja;18-7-2020;20-3-2021;11-5-2021;PFI;Ja, 30 uur oud
801;Deanna;O'Keefe;DeannaO'Keefe@example.org;3-8-1950;40590192;nee;nvt;6-4-2021;21-5-2021;PFI;Nee
802;Piper;Rath;PiperRath@example.org;21-4-1992;48552271;nee;nvt;11-1-2021;4-3-2021;PFI;Nee
803;Alysa;Emard;AlysaEmard@example.org;9-9-1943;60362910;ja;10-10-2020;19-3-2021;16-4-2021;PFI;Nee
804;Aidan;Bode;AidanBode@example.org;14-12-1988;94161639;ja;10-7-2020;11-3-2021;12-4-2021;PFI;Nee
805;Osvaldo;Ward;OsvaldoWard@example.org;30-3-1933;66635861;nee;nvt;5-2-2021;25-3-2021;PFI;Nee
806;Omer;Emmerich;OmerEmmerich@example.org;25-6-1936;41421490;nee;nvt;17-5-2021;nog inplannen;PFI;Nee
807;Irving;Cronin;IrvingCronin@example.org;28-6-1959;10489424;nee;nvt;12-2-2021;4-4-2021;PFI;Ja, 30 uur oud
808;Stanley;Schamberger;StanleySchamberger@example.org;5-3-1943;75261149;ja;19-9-2020;25-5-2021;nog inplannen;PFI;Nee
809;Burdette;Tillman;BurdetteTillman@example.org;30-10-1985;77029847;nee;nvt;30-3-2021;10-5-2021;PFI;Nee
810;Jose;Moore;JoseMoore@example.org;16-5-1971;30382822;nee;nvt;19-3-2021;30-4-2021;AZ;Nee
811;Emanuel;Predovic;EmanuelPredovic@example.org;23-5-1930;66690056;nee;nvt;12-1-2021;28-2-2021;ONB;Nee
812;Adelia;Collins;AdeliaCollins@example.org;13-1-1973;94571969;nee;nvt;17-1-2021;6-3-2021;PFI;Nee
813;Jaylin;Hayes;JaylinHayes@example.org;15-9-1987;18682957;ja;4-7-2020;4-4-2021;8-5-2021;PFI;Nee
814;Eriberto;Schoen;EribertoSchoen@example.org;3-4-1971;85652250;nee;nvt;18-5-2021;nog inplannen;PFI;Ja, 30 uur oud
815;Monique;Fahey;MoniqueFahey@example.org;1-8-1958;72142000;ja;2-5-2020;3-5-2021;nog inplannen;PFI;Nee
816;Aniya;Heathcote;AniyaHeathcote@example.org;3-4-1964;37545778;ja;14-9-2020;16-5-2021;nog inplannen;PFI;Nee
817;Vita;Kertzmann;VitaKertzmann@example.org;24-7-1951;86836352;ja;19-11-2020;28-3-2021;3-5-2021;PFI;Nee
818;Chandler;Haag;ChandlerHaag@example.org;4-9-1976;72515137;nee;nvt;12-4-2021;15-5-2021;AZ;Nee
819;Clyde;Deckow;ClydeDeckow@example.org;10-9-1945;47425702;ja;27-7-2020;23-1-2021;12-3-2021;PFI;Nee
820;Breana;Stanton;BreanaStanton@example.org;13-11-1990;45576788;ja;23-12-2020;8-5-2021;VOLDAAN;AZ;Nee
821;Katelyn;Stokes;KatelynStokes@example.org;8-4-1991;28657917;ja;8-8-2020;22-2-2021;18-4-2021;MOD;Ja, 30 uur oud
822;Tessie;Monahan;TessieMonahan@example.org;29-7-1969;85197022;ja;15-1-2021;22-2-2021;10-4-2021;PFI;Nee
823;Chauncey;Watsica;ChaunceyWatsica@example.org;16-10-1940;46198523;ja;15-5-2020;21-2-2021;29-3-2021;PFI;Nee
824;Efrain;Sanford;EfrainSanford@example.org;18-10-1975;62639450;ja;19-1-2021;22-2-2021;17-4-2021;PFI;Nee
825;Michael;Mante;MichaelMante@example.org;24-4-1988;52535558;ja;22-8-2020;10-4-2021;nog inplannen;PFI;Nee
